CustomerID,FirstName,LastName,LoyaltyClubMember,StateID
11000,Thomas,Mcknight,0,31
11001,Alexandra,Bryan,0,34
11002,Jax,Haynes,0,34
11003,Misael,Diaz,1,38
11004,Haiden,Murillo,0,31
11005,Alexus,Richardson,0,34
11006,Macie,Clay,1,34
11007,Jaylin,Mcfarland,0,31
11008,Hugh,Vang,1,31
11009,Jasmin,Parsons,0,38
11010,Mariana,Meadows,1,31
11011,August,Blanchard,0,31
11012,Alani,Arroyo,0,45
11013,Alessandro,Wyatt,0,20
11014,Carissa,Little,0,45
11015,Hana,Crosby,0,5
11016,Alfonso,Nolan,0,11
11017,Camren,Mays,1,38
11018,Aedan,Whitehead,1,34
11019,Alani,Parsons,1,17
11020,Maximo,Nguyen,1,17
11021,Mallory,Nolan,0,9
11022,Maximo,Hutchinson,0,20
11023,Trevin,Arnold,0,37
11024,Aurora,Avila,0,1
11025,Maverick,Adams,0,34
11026,Anderson,Bowman,0,38
11027,Alfonso,Reed,0,34
11028,Alfonso,Thornton,0,38
11029,Rebekah,Hood,0,34
11030,Franco,Lara,1,31
11031,Aylin,Figueroa,1,34
11032,Maximo,Anthony,1,34
11033,Paityn,Santos,0,34
11034,Sariah,Sloan,0,31
11035,Vanessa,Frederick,1,38
11036,Amani,James,0,47
11037,Hillary,Browning,0,17
11038,Shaylee,Gutierrez,1,38
11039,Emery,Meyer,0,34
11040,Aylin,Mcfarland,1,20
11041,Vance,Bullock,0,5
11042,Belen,Richardson,0,11
11043,Saige,Kennedy,0,5
11044,Juan,Meadows,0,31
11045,Hugh,Gonzales,1,38
11046,Jovany,Griffin,1,34
11047,Reilly,Thornton,0,34
11048,Makayla,Randall,1,31
11049,Alessandro,Bryan,0,37
11050,Franco,Hicks,1,31
11051,Gwendolyn,Vang,0,31
11052,Jakobe,Mcdonald,0,34
11053,Dalton,Rice,1,5
11054,Jaylen,Haynes,1,34
11055,Emery,Ho,0,34
11056,Audrina,Acosta,0,38
11057,Reilly,Weiss,1,38
11058,Lilliana,Carson,0,31
11059,Jakobe,Jacobson,0,31
11060,Aydin,Acosta,0,34
